number,generated_file,original_file,capture_date,display_date,width,height,optimized_bytes,thumbnail_bytes
1,bgfs-0001.jpg,IMG_20260826_181324.jpg,2026-08-26,"August 26, 2026",2400,2400,894792,99859
2,bgfs-0002.jpg,IMG_20260826_192303.jpg,2026-08-26,"August 26, 2026",2400,1082,454068,50313
3,bgfs-0003.jpg,IMG_20260826_192327.jpg,2026-08-26,"August 26, 2026",2400,1082,455750,50405
4,bgfs-0004.jpg,IMG_20260823_083836.jpg,2026-08-23,"August 23, 2026",2400,2400,1385433,121596
5,bgfs-0005.jpg,IMG_20260814_193102.jpg,2026-08-14,"August 14, 2026",2400,2400,627738,77843
6,bgfs-0006.jpg,IMG_20260814_195935.jpg,2026-08-14,"August 14, 2026",2400,2400,849505,74539
7,bgfs-0007.jpg,IMG_20260813_194220.jpg,2026-08-13,"August 13, 2026",2400,1082,300434,38791
8,bgfs-0008.jpg,IMG_20260813_083029.jpg,2026-08-13,"August 13, 2026",2400,2400,1515753,134346
9,bgfs-0009.jpg,IMG-20260811-WA0000.jpg,2026-08-11,"August 11, 2026",1600,1204,328923,76645
10,bgfs-0010.jpg,IMG-20260807-WA0007.jpg,2026-08-07,"August 7, 2026",1024,768,139620,72700
11,bgfs-0011.jpg,IMG_20260807_063200.jpg,2026-08-07,"August 7, 2026",2400,1082,541705,46553
12,bgfs-0012.jpg,IMG_20260807_064409.jpg,2026-08-07,"August 7, 2026",2400,1082,482770,49652
13,bgfs-0013.jpg,IMG_20260807_085438.jpg,2026-08-07,"August 7, 2026",2400,2400,977563,103335
14,bgfs-0014.jpg,IMG_20260807_064532.jpg,2026-08-07,"August 7, 2026",1080,2400,298195,34602
15,bgfs-0015.jpg,IMG_20260806_065849.jpg,2026-08-06,"August 6, 2026",2400,1082,461647,47696
16,bgfs-0016.jpg,IMG_20260806_064741.jpg,2026-08-06,"August 6, 2026",2400,1082,535915,52628
17,bgfs-0017.jpg,IMG_20260805_202159.jpg,2026-08-05,"August 5, 2026",2400,1082,95929,10826
18,bgfs-0018.jpg,IMG_20260804_175315.jpg,2026-08-04,"August 4, 2026",2400,1082,557930,61945
19,bgfs-0019.jpg,IMG_20260730_144812.jpg,2026-07-30,"July 30, 2026",2400,2400,661616,76750
20,bgfs-0020.jpg,IMG_20260728_183253.jpg,2026-07-28,"July 28, 2026",2400,2400,1217121,132835
21,bgfs-0021.jpg,IMG_20260726_181242.jpg,2026-07-26,"July 26, 2026",2400,2400,1108854,113810
22,bgfs-0022.jpg,IMG-20260723-WA0008.jpg,2026-07-23,"July 23, 2026",2400,1800,1191827,88565
23,bgfs-0023.jpg,IMG_20260719_115124.jpg,2026-07-19,"July 19, 2026",2400,1802,983864,87048
24,bgfs-0024.jpg,IMG-20260718-WA0002.jpg,2026-07-18,"July 18, 2026",2400,1800,786134,83823
25,bgfs-0025.jpg,IMG-20260718-WA0005.jpg,2026-07-18,"July 18, 2026",2400,1800,958761,90043
26,bgfs-0026.jpg,IMG_20260717_154924.jpg,2026-07-17,"July 17, 2026",2400,1802,768213,89090
27,bgfs-0027.jpg,IMG_20260717_160402.jpg,2026-07-17,"July 17, 2026",2400,1802,706702,78175
28,bgfs-0028.jpg,IMG_20260717_162110.jpg,2026-07-17,"July 17, 2026",1802,2400,625036,71591
29,bgfs-0029.jpg,IMG_20260709_111215.jpg,2026-07-09,"July 9, 2026",1800,2400,697804,57668
30,bgfs-0030.jpg,IMG_20260707_151407.jpg,2026-07-07,"July 7, 2026",1800,2400,625278,56749
31,bgfs-0031.jpg,IMG_20260706_143133.jpg,2026-07-06,"July 6, 2026",1802,2400,678608,69276
32,bgfs-0032.jpg,IMG_20260607_155228.jpg,2026-06-07,"June 7, 2026",2400,1802,696133,79368
33,bgfs-0033.jpg,IMG_20260607_155312.jpg,2026-06-07,"June 7, 2026",1802,2400,647357,68412
34,bgfs-0034.jpg,IMG_20260507_160527.jpg,2026-05-07,"May 7, 2026",2400,1802,843956,81734
35,bgfs-0035.jpg,IMG_20260507_160558.jpg,2026-05-07,"May 7, 2026",2400,1800,873533,86977
36,bgfs-0036.jpg,IMG_20260507_163210.jpg,2026-05-07,"May 7, 2026",2400,1800,890739,86300
37,bgfs-0037.jpg,IMG_20260507_160419.jpg,2026-05-07,"May 7, 2026",1802,2400,686179,64060
38,bgfs-0038.jpg,IMG_20260507_163201.jpg,2026-05-07,"May 7, 2026",2400,1802,821400,81599
39,bgfs-0039.jpg,IMG-20260429-WA0008.jpg,2026-04-29,"April 29, 2026",1800,2400,1055618,91212
40,bgfs-0040.jpg,IMG-20260429-WA0018.jpg,2026-04-29,"April 29, 2026",1800,2400,987235,111017
41,bgfs-0041.jpg,IMG-20260429-WA0015.jpg,2026-04-29,"April 29, 2026",1800,2400,561961,73437
42,bgfs-0042.jpg,IMG-20260429-WA0007.jpg,2026-04-29,"April 29, 2026",1800,2400,591055,76932
43,bgfs-0043.jpg,IMG-20260429-WA0013.jpg,2026-04-29,"April 29, 2026",1800,2400,1026615,88605
44,bgfs-0044.jpg,IMG-20260429-WA0005.jpg,2026-04-29,"April 29, 2026",1800,2400,653861,79671
45,bgfs-0045.jpg,wedding-096.jpg,2026-04-25,"April 25, 2026",1024,682,179961,85563
46,bgfs-0046.jpg,wedding-009.jpg,2026-04-25,"April 25, 2026",1024,1536,369321,79796
47,bgfs-0047.jpg,wedding-088.jpg,2026-04-25,"April 25, 2026",1024,1536,364413,73111
48,bgfs-0048.jpg,wedding-077.jpg,2026-04-25,"April 25, 2026",1024,1536,395949,84607
49,bgfs-0049.jpg,wedding-042.jpg,2026-04-25,"April 25, 2026",1024,1536,443294,96387
50,bgfs-0050.jpg,wedding-089.jpg,2026-04-25,"April 25, 2026",1024,1536,394996,87373
51,bgfs-0051.jpg,wedding-075.jpg,2026-04-25,"April 25, 2026",1024,1536,367174,73978
52,bgfs-0052.jpg,wedding-023.jpg,2026-04-25,"April 25, 2026",1024,682,222163,99076
53,bgfs-0053.jpg,wedding-106.jpg,2026-04-25,"April 25, 2026",1024,1536,364572,82110
54,bgfs-0054.jpg,wedding-100.jpg,2026-04-25,"April 25, 2026",1024,1536,222830,54401
55,bgfs-0055.jpg,wedding-084.jpg,2026-04-25,"April 25, 2026",1024,1536,358041,69497
56,bgfs-0056.jpg,wedding-066.jpg,2026-04-25,"April 25, 2026",1024,1536,388820,76692
57,bgfs-0057.jpg,wedding-051.jpg,2026-04-25,"April 25, 2026",1024,682,203191,91505
58,bgfs-0058.jpg,wedding-039.jpg,2026-04-25,"April 25, 2026",1024,1536,460019,84814
59,bgfs-0059.jpg,wedding-093.jpg,2026-04-25,"April 25, 2026",1024,1536,354356,74072
60,bgfs-0060.jpg,IMG-20260417-WA0004.jpg,2026-04-17,"April 17, 2026",1280,720,207976,71211
61,bgfs-0061.jpg,IMG-20260417-WA0007.jpg,2026-04-17,"April 17, 2026",2040,1530,626567,96046
62,bgfs-0062.jpg,IMG-20260417-WA0002.jpg,2026-04-17,"April 17, 2026",1280,720,214237,73179
63,bgfs-0063.jpg,IMG-20260417-WA0006.jpg,2026-04-17,"April 17, 2026",2040,1530,478087,81928
64,bgfs-0064.jpg,IMG_20260415_125056.jpg,2026-04-15,"April 15, 2026",1802,2400,998117,114028
65,bgfs-0065.jpg,IMG_20260415_124835.jpg,2026-04-15,"April 15, 2026",2400,1800,668201,74569
66,bgfs-0066.jpg,IMG_20260415_125208.jpg,2026-04-15,"April 15, 2026",1802,2400,608187,62854
67,bgfs-0067.jpg,IMG_20260415_124817.jpg,2026-04-15,"April 15, 2026",1800,2400,620133,89229
68,bgfs-0068.jpg,IMG_20260405_175359.jpg,2026-04-05,"April 5, 2026",1802,2400,645440,74278
69,bgfs-0069.jpg,IMG_20260405_100831.jpg,2026-04-05,"April 5, 2026",1800,2400,682763,95351
70,bgfs-0070.jpg,IMG_20260328_164206.jpg,2026-03-28,"March 28, 2026",2400,1802,721341,69152
71,bgfs-0071.jpg,IMG_20260328_150508.jpg,2026-03-28,"March 28, 2026",1802,2400,543762,54412
72,bgfs-0072.jpg,IMG_20260320_063419.jpg,2026-03-20,"March 20, 2026",1800,2400,463099,50877
73,bgfs-0073.jpg,IMG_20260320_065155.jpg,2026-03-20,"March 20, 2026",1802,2400,362310,42366
74,bgfs-0074.jpg,IMG_20260320_065142.jpg,2026-03-20,"March 20, 2026",2400,1802,963176,80886
75,bgfs-0075.jpg,IMG_20260320_064855.jpg,2026-03-20,"March 20, 2026",2400,1802,602762,59563
